ProductID,ProductName,Category,UnitPrice
P0073,Hair Dryer,Beauty & Personal Care,624.59
P0074,Hair Dryer Pro,Beauty & Personal Care,207.18
P0075,Trimmer,Beauty & Personal Care,1324.55
P0076,Trimmer Pro,Beauty & Personal Care,625.96
P0077,Face Mask Pack,Beauty & Personal Care,1497.5
P0078,Face Mask Pack Pro,Beauty & Personal Care,520.65
P0079,Body Lotion,Beauty & Personal Care,1473.04
P0080,Body Lotion Pro,Beauty & Personal Care,1429.67
P0081,Notebook Set,Books & Stationery,134.03
P0082,Notebook Set Pro,Books & Stationery,539.01
P0083,Fiction Novel,Books & Stationery,341.58
P0084,Fiction Novel Pro,Books & Stationery,656.79
P0085,Sketch Pens,Books & Stationery,569.18
P0086,Sketch Pens Pro,Books & Stationery,766.01
P0087,Desk Organizer,Books & Stationery,182.8
P0088,Desk Organizer Pro,Books & Stationery,517.45
P0089,Planner Diary,Books & Stationery,642.54
P0090,Planner Diary Pro,Books & Stationery,105.06
P0091,Sticky Notes,Books & Stationery,128.41
P0092,Sticky Notes Pro,Books & Stationery,640.53
P0093,Fountain Pen,Books & Stationery,343.76
P0094,Fountain Pen Pro,Books & Stationery,355.66
P0095,Bookmark Set,Books & Stationery,488.42
P0096,Bookmark Set Pro,Books & Stationery,515.67
P0097,Art Supplies Kit,Books & Stationery,568.92
P0098,Art Supplies Kit Pro,Books & Stationery,763.15
P0099,Puzzle Book,Books & Stationery,347.85
P0100,Puzzle Book Pro,Books & Stationery,629.42
P0101,Yoga Mat,Sports & Fitness,1520.02
P0102,Yoga Mat Pro,Sports & Fitness,1417.76
P0103,Dumbbell Set,Sports & Fitness,1115.48
P0104,Dumbbell Set Pro,Sports & Fitness,1693.99
P0105,Resistance Bands,Sports & Fitness,774.11
P0106,Resistance Bands Pro,Sports & Fitness,460.93
P0107,Water Bottle,Sports & Fitness,1892.05
P0108,Water Bottle Pro,Sports & Fitness,1347.8
P0109,Skipping Rope,Sports & Fitness,1090.07
P0110,Skipping Rope Pro,Sports & Fitness,1491.85
P0111,Cycling Gloves,Sports & Fitness,802.09
P0112,Cycling Gloves Pro,Sports & Fitness,798.67
P0113,Gym Bag,Sports & Fitness,1226.43
P0114,Gym Bag Pro,Sports & Fitness,2491.64
P0115,Foam Roller,Sports & Fitness,856.83
P0116,Foam Roller Pro,Sports & Fitness,2307.9
P0117,Fitness Tracker,Sports & Fitness,1329.76
P0118,Fitness Tracker Pro,Sports & Fitness,482.07
P0119,Football,Sports & Fitness,2161.5
P0120,Football Pro,Sports & Fitness,1239.7
