antecedents,consequents,support,confidence,lift
Bookmark Set,Sketch Pens Pro,0.0033333333333333335,0.13930348258706468,5.6528949455620445
Winter Hoodie Pro,Denim Jacket,0.0034523809523809524,0.14572864321608042,5.641108769654726
Denim Jacket,Winter Hoodie Pro,0.0034523809523809524,0.1336405529953917,5.641108769654726
Art Supplies Kit,Fiction Novel,0.0034523809523809524,0.13615023474178406,5.63380281690141
Fiction Novel,Art Supplies Kit,0.0034523809523809524,0.14285714285714285,5.633802816901408
Sticky Notes Pro,Fiction Novel Pro,0.0033333333333333335,0.12844036697247707,5.6192660550458715
Fiction Novel Pro,Sticky Notes Pro,0.0033333333333333335,0.14583333333333334,5.6192660550458715
Knife Set,Air Fryer,0.0035714285714285713,0.136986301369863,5.585849182072083
Air Fryer,Knife Set,0.0035714285714285713,0.14563106796116504,5.585849182072083
Phone Case,Phone Case Pro,0.0034523809523809524,0.14146341463414636,5.57883888698042
Phone Case Pro,Phone Case,0.0034523809523809524,0.13615023474178406,5.57883888698042
Cushion Cover Set Pro,Storage Boxes,0.0030952380952380953,0.1326530612244898,5.571428571428572
Storage Boxes,Cushion Cover Set Pro,0.0030952380952380953,0.13,5.571428571428571
Face Wash,Sunscreen,0.0035714285714285713,0.12987012987012986,5.537609598523304
Sunscreen,Face Wash,0.0035714285714285713,0.15228426395939085,5.537609598523304
Art Supplies Kit,Sketch Pens Pro,0.0034523809523809524,0.13615023474178406,5.52493706198544
Sketch Pens Pro,Art Supplies Kit,0.0034523809523809524,0.14009661835748793,5.52493706198544
Art Supplies Kit,Puzzle Book,0.003928571428571429,0.15492957746478875,5.514442587729769
Puzzle Book,Art Supplies Kit,0.003928571428571429,0.13983050847457626,5.514442587729769
Water Bottle,Cycling Gloves,0.0032142857142857142,0.135678391959799,5.50578981865851
Cycling Gloves,Water Bottle,0.0032142857142857142,0.13043478260869565,5.50578981865851
Perfume,Lipstick Pro,0.0034523809523809524,0.1336405529953917,5.502846299810247
Lipstick Pro,Perfume,0.0034523809523809524,0.14215686274509803,5.502846299810247
Storage Boxes Pro,Cushion Cover Set Pro,0.0034523809523809524,0.12831858407079647,5.49936788874842
Cushion Cover Set Pro,Storage Boxes Pro,0.0034523809523809524,0.14795918367346939,5.49936788874842
Face Wash,Shampoo Pro,0.0038095238095238095,0.13852813852813853,5.463081519419548
Shampoo Pro,Face Wash,0.0038095238095238095,0.15023474178403756,5.463081519419548
Ceramic Mug Set,Non-stick Pan,0.0030952380952380953,0.12871287128712872,5.4605460546054605
Non-stick Pan,Ceramic Mug Set,0.0030952380952380953,0.1313131313131313,5.4605460546054605
Phone Case Pro,Wireless Mouse,0.0034523809523809524,0.13615023474178406,5.446009389671362
Wireless Mouse,Phone Case Pro,0.0034523809523809524,0.13809523809523808,5.446009389671361
Wall Clock Pro,Bedsheet Set Pro,0.0033333333333333335,0.13270142180094788,5.4375216737949374
Bedsheet Set Pro,Wall Clock Pro,0.0033333333333333335,0.13658536585365855,5.4375216737949374
USB-C Cable,Wireless Mouse Pro,0.0032142857142857142,0.12796208530805686,5.428694528220594
Wireless Mouse Pro,USB-C Cable,0.0032142857142857142,0.13636363636363635,5.428694528220594
Face Wash Pro,Sunscreen Pro,0.0033333333333333335,0.1414141414141414,5.42410405424104
Sunscreen Pro,Face Wash Pro,0.0033333333333333335,0.1278538812785388,5.42410405424104
Sketch Pens Pro,Sketch Pens,0.0032142857142857142,0.13043478260869565,5.424020662935859
Sketch Pens,Sketch Pens Pro,0.0032142857142857142,0.13366336633663367,5.424020662935859
USB-C Cable Pro,Wireless Earbuds Pro,0.0030952380952380953,0.13612565445026178,5.419220366740279
Wireless Earbuds Pro,USB-C Cable Pro,0.0030952380952380953,0.12322274881516587,5.419220366740279
Cotton T-Shirt,Sports Cap Pro,0.0032142857142857142,0.15083798882681565,5.414697034808767
Sports Cap Pro,Cotton T-Shirt,0.0032142857142857142,0.11538461538461538,5.414697034808766
Sports Cap,Winter Hoodie Pro,0.002976190476190476,0.1282051282051282,5.411673753382296
Winter Hoodie Pro,Sports Cap,0.002976190476190476,0.12562814070351758,5.411673753382296
Non-stick Pan,Cushion Cover Set Pro,0.002976190476190476,0.12626262626262624,5.41125541125541
Cushion Cover Set Pro,Non-stick Pan,0.002976190476190476,0.12755102040816324,5.41125541125541
Cycling Gloves,Resistance Bands Pro,0.0035714285714285713,0.14492753623188406,5.410628019323672
Resistance Bands Pro,Cycling Gloves,0.0035714285714285713,0.13333333333333333,5.4106280193236715
Face Wash,Body Lotion Pro,0.0034523809523809524,0.12554112554112554,5.407925407925408
Body Lotion Pro,Face Wash,0.0034523809523809524,0.14871794871794872,5.407925407925408
Fiction Novel Pro,Desk Organizer Pro,0.0027380952380952383,0.11979166666666667,5.381016042780749
Desk Organizer Pro,Fiction Novel Pro,0.0027380952380952383,0.12299465240641713,5.381016042780749
Water Bottle Pro,Fitness Tracker,0.0035714285714285713,0.14018691588785046,5.377032390218922
Fitness Tracker,Water Bottle Pro,0.0035714285714285713,0.136986301369863,5.377032390218922
Moisturizer Pro,Face Wash Pro,0.0033333333333333335,0.12669683257918551,5.375017139723021
Face Wash Pro,Moisturizer Pro,0.0033333333333333335,0.1414141414141414,5.375017139723021
Planner Diary,Puzzle Book,0.0034523809523809524,0.15025906735751296,5.348204092386054
Puzzle Book,Planner Diary,0.0034523809523809524,0.12288135593220338,5.348204092386053
Sports Cap,Sports Cap Pro,0.0034523809523809524,0.14871794871794872,5.338593030900723
Sports Cap Pro,Sports Cap,0.0034523809523809524,0.12393162393162394,5.338593030900723
Sports Cap,Formal Shirt,0.0033333333333333335,0.1435897435897436,5.336963921034719
Formal Shirt,Sports Cap,0.0033333333333333335,0.12389380530973453,5.336963921034718
Sketch Pens,Fiction Novel,0.0030952380952380953,0.12871287128712872,5.326049846363947
Fiction Novel,Sketch Pens,0.0030952380952380953,0.12807881773399016,5.326049846363947
Gym Bag,Yoga Mat,0.0032142857142857142,0.13043478260869565,5.318699873364289
Yoga Mat,Gym Bag,0.0032142857142857142,0.13106796116504854,5.318699873364288
Power Bank,Bluetooth Speaker,0.003928571428571429,0.13636363636363638,5.303030303030304
Bluetooth Speaker,Power Bank,0.003928571428571429,0.1527777777777778,5.303030303030304
Backpack,Running Shoes Pro,0.002976190476190476,0.12626262626262624,5.303030303030303
Running Shoes Pro,Backpack,0.002976190476190476,0.125,5.303030303030303
Smart Watch Pro,Power Bank Pro,0.0034523809523809524,0.13122171945701358,5.299338670379394
Power Bank Pro,Smart Watch Pro,0.0034523809523809524,0.13942307692307693,5.299338670379394
Notebook Set Pro,Desk Organizer Pro,0.0027380952380952383,0.11794871794871795,5.298231180584122
Desk Organizer Pro,Notebook Set Pro,0.0027380952380952383,0.12299465240641713,5.298231180584122
Running Shoes,Denim Jacket,0.002976190476190476,0.13661202185792348,5.28820729772607
Denim Jacket,Running Shoes,0.002976190476190476,0.1152073732718894,5.28820729772607
Knife Set Pro,Bedsheet Set,0.0030952380952380953,0.12440191387559808,5.2776569522981
Bedsheet Set,Knife Set Pro,0.0030952380952380953,0.1313131313131313,5.277656952298099
Mechanical Keyboard Pro,Bluetooth Speaker,0.0036904761904761906,0.13537117903930132,5.264434740417274
Bluetooth Speaker,Mechanical Keyboard Pro,0.0036904761904761906,0.14351851851851852,5.264434740417273
Cushion Cover Set,Non-stick Pan,0.002976190476190476,0.12376237623762376,5.2505250525052505
Non-stick Pan,Cushion Cover Set,0.002976190476190476,0.12626262626262624,5.25052505250525
Puzzle Book,Puzzle Book Pro,0.0038095238095238095,0.13559322033898305,5.248769819573537
Puzzle Book Pro,Puzzle Book,0.0038095238095238095,0.14746543778801843,5.248769819573537
USB-C Cable,Phone Case,0.0032142857142857142,0.12796208530805686,5.243324471159403
Phone Case,USB-C Cable,0.0032142857142857142,0.13170731707317074,5.243324471159403
Formal Shirt Pro,Analog Watch Pro,0.0032142857142857142,0.12918660287081338,5.242354899105471
Analog Watch Pro,Formal Shirt Pro,0.0032142857142857142,0.13043478260869565,5.242354899105471
Fiction Novel Pro,Fountain Pen,0.0030952380952380953,0.13541666666666669,5.241935483870969
Fountain Pen,Fiction Novel Pro,0.0030952380952380953,0.11981566820276499,5.241935483870968
Bedsheet Set Pro,Knife Set,0.0033333333333333335,0.13658536585365855,5.238890745071835
Knife Set,Bedsheet Set Pro,0.0033333333333333335,0.1278538812785388,5.238890745071834
Hair Dryer,Perfume Pro,0.002976190476190476,0.1358695652173913,5.235341045073793
Perfume Pro,Hair Dryer,0.002976190476190476,0.1146788990825688,5.235341045073793
Cycling Gloves Pro,Dumbbell Set Pro,0.0032142857142857142,0.135,5.225806451612904
Dumbbell Set Pro,Cycling Gloves Pro,0.0032142857142857142,0.12442396313364056,5.225806451612904
Smart Watch,Mechanical Keyboard,0.0034523809523809524,0.13615023474178406,5.2222007846163745
Mechanical Keyboard,Smart Watch,0.0034523809523809524,0.1324200913242009,5.222200784616374
Cotton T-Shirt Pro,Running Shoes,0.002857142857142857,0.11374407582938388,5.221039546266801
Running Shoes,Cotton T-Shirt Pro,0.002857142857142857,0.13114754098360656,5.221039546266801
Lipstick Pro,Moisturizer Pro,0.0033333333333333335,0.13725490196078433,5.216928400319404
Moisturizer Pro,Lipstick Pro,0.0033333333333333335,0.12669683257918551,5.216928400319404
Football Pro,Yoga Mat Pro,0.0033333333333333335,0.13270142180094788,5.208840855738141
Yoga Mat Pro,Football Pro,0.0033333333333333335,0.13084112149532712,5.208840855738141
Fountain Pen,Bookmark Set,0.0032142857142857142,0.12442396313364056,5.199807414540203
Bookmark Set,Fountain Pen,0.0032142857142857142,0.13432835820895522,5.199807414540202
Face Mask Pack Pro,Hair Dryer,0.002857142857142857,0.11374407582938388,5.192664331341438
Hair Dryer,Face Mask Pack Pro,0.002857142857142857,0.13043478260869565,5.192664331341438
Fountain Pen,Desk Organizer Pro,0.002976190476190476,0.1152073732718894,5.175090564084872
Desk Organizer Pro,Fountain Pen,0.002976190476190476,0.13368983957219252,5.175090564084872
Sketch Pens,Planner Diary,0.002857142857142857,0.11881188118811882,5.171087056892218
Planner Diary,Sketch Pens,0.002857142857142857,0.12435233160621761,5.171087056892218
Notebook Set,Notebook Set Pro,0.0032142857142857142,0.12000000000000001,5.1692307692307695
Notebook Set Pro,Notebook Set,0.0032142857142857142,0.13846153846153844,5.169230769230769
Sunscreen,Face Wash Pro,0.002857142857142857,0.12182741116751268,5.168435625288416
Face Wash Pro,Sunscreen,0.002857142857142857,0.1212121212121212,5.168435625288416
Webcam,Bluetooth Speaker,0.0033333333333333335,0.13270142180094788,5.16061084781464
Bluetooth Speaker,Webcam,0.0033333333333333335,0.12962962962962965,5.16061084781464
Fountain Pen Pro,Sketch Pens,0.0035714285714285713,0.12396694214876033,5.155060960641519
Sketch Pens,Fountain Pen Pro,0.0035714285714285713,0.1485148514851485,5.155060960641518
Desk Organizer,Art Supplies Kit,0.0032142857142857142,0.13043478260869565,5.143906919779547
Art Supplies Kit,Desk Organizer,0.0032142857142857142,0.1267605633802817,5.143906919779547
Electric Kettle,Wall Clock Pro,0.0032142857142857142,0.12918660287081338,5.142973763577404
Wall Clock Pro,Electric Kettle,0.0032142857142857142,0.12796208530805686,5.142973763577404
Resistance Bands,Resistance Bands Pro,0.0034523809523809524,0.13744075829383887,5.131121642969984
Resistance Bands Pro,Resistance Bands,0.0034523809523809524,0.1288888888888889,5.131121642969984
Backpack,Sunglasses Pro,0.002857142857142857,0.1212121212121212,5.116491548652353
Sunglasses Pro,Backpack,0.002857142857142857,0.1206030150753769,5.116491548652353
Moisturizer,Hair Dryer Pro,0.0033333333333333335,0.13333333333333333,5.114155251141552
Hair Dryer Pro,Moisturizer,0.0033333333333333335,0.1278538812785388,5.114155251141552
Backpack Pro,Running Shoes Pro,0.0033333333333333335,0.12173913043478261,5.11304347826087
Running Shoes Pro,Backpack Pro,0.0033333333333333335,0.14,5.11304347826087
Cycling Gloves Pro,Yoga Mat,0.002976190476190476,0.125,5.097087378640777
Yoga Mat,Cycling Gloves Pro,0.002976190476190476,0.12135922330097086,5.097087378640777
Football,Cycling Gloves,0.0030952380952380953,0.12560386473429952,5.09696842400056
Cycling Gloves,Football,0.0030952380952380953,0.12560386473429952,5.09696842400056
Wireless Earbuds Pro,Webcam,0.0032142857142857142,0.12796208530805686,5.094225197097998
Webcam,Wireless Earbuds Pro,0.0032142857142857142,0.12796208530805686,5.094225197097998
Cushion Cover Set Pro,Knife Set,0.0030952380952380953,0.1326530612244898,5.088062622309198
Knife Set,Cushion Cover Set Pro,0.0030952380952380953,0.11872146118721462,5.088062622309198
Wall Clock,Knife Set,0.0032142857142857142,0.1323529411764706,5.07655116841257
Knife Set,Wall Clock,0.0032142857142857142,0.1232876712328767,5.07655116841257
Winter Hoodie,Analog Watch Pro,0.002857142857142857,0.125,5.072463768115942
Analog Watch Pro,Winter Hoodie,0.002857142857142857,0.11594202898550725,5.072463768115942
Fitness Tracker Pro,Dumbbell Set,0.0030952380952380953,0.11016949152542373,5.056960266740761
Dumbbell Set,Fitness Tracker Pro,0.0030952380952380953,0.14207650273224043,5.056960266740761
Sketch Pens Pro,Planner Diary Pro,0.0035714285714285713,0.14492753623188406,5.051416200613387
Planner Diary Pro,Sketch Pens Pro,0.0035714285714285713,0.12448132780082988,5.051416200613386
LED Desk Lamp,Electric Kettle Pro,0.002857142857142857,0.12307692307692307,5.043151969981238
Electric Kettle Pro,LED Desk Lamp,0.002857142857142857,0.11707317073170731,5.0431519699812375
Cushion Cover Set Pro,Ceramic Mug Set Pro,0.002619047619047619,0.11224489795918366,5.042016806722689
Ceramic Mug Set Pro,Cushion Cover Set Pro,0.002619047619047619,0.11764705882352941,5.042016806722689
Wireless Earbuds Pro,Mechanical Keyboard Pro,0.0034523809523809524,0.13744075829383887,5.041495064053478
USB-C Cable,Mechanical Keyboard Pro,0.0034523809523809524,0.13744075829383887,5.041495064053478
Mechanical Keyboard Pro,USB-C Cable,0.0034523809523809524,0.12663755458515283,5.0414950640534775
Mechanical Keyboard Pro,Wireless Earbuds Pro,0.0034523809523809524,0.12663755458515283,5.0414950640534775
Art Supplies Kit Pro,Sketch Pens,0.0027380952380952383,0.12105263157894738,5.033871808233456
Sketch Pens,Art Supplies Kit Pro,0.0027380952380952383,0.11386138613861387,5.033871808233455
Foam Roller,Cycling Gloves Pro,0.0030952380952380953,0.11981566820276499,5.03225806451613
Cycling Gloves Pro,Foam Roller,0.0030952380952380953,0.13,5.032258064516129
Denim Jacket Pro,Backpack Pro,0.0036904761904761906,0.1377777777777778,5.031884057971015
Backpack Pro,Denim Jacket Pro,0.0036904761904761906,0.13478260869565217,5.0318840579710145
Mechanical Keyboard Pro,Mechanical Keyboard,0.0035714285714285713,0.13100436681222707,5.024825028414189
Mechanical Keyboard,Mechanical Keyboard Pro,0.0035714285714285713,0.136986301369863,5.024825028414189
Shampoo,Hair Dryer,0.002261904761904762,0.10982658959537572,5.013822568484543
Hair Dryer,Shampoo,0.002261904761904762,0.10326086956521738,5.013822568484543
Formal Shirt,Leather Wallet Pro,0.0034523809523809524,0.12831858407079647,5.013377238114839
Leather Wallet Pro,Formal Shirt,0.0034523809523809524,0.13488372093023257,5.013377238114839
Body Lotion Pro,Face Wash Pro,0.0027380952380952383,0.11794871794871795,5.003885003885004
Face Wash Pro,Body Lotion Pro,0.0027380952380952383,0.11616161616161616,5.003885003885004
Hair Dryer,Sunscreen Pro,0.002857142857142857,0.13043478260869565,5.002977963073258
Sunscreen Pro,Hair Dryer,0.002857142857142857,0.1095890410958904,5.002977963073257
Webcam,USB-C Cable Pro,0.002857142857142857,0.11374407582938388,5.002357261606412
Resistance Bands,Skipping Rope Pro,0.002857142857142857,0.11374407582938388,5.002357261606412
USB-C Cable Pro,Webcam,0.002857142857142857,0.1256544502617801,5.002357261606411
Skipping Rope Pro,Resistance Bands,0.002857142857142857,0.1256544502617801,5.002357261606411
Shampoo Pro,Body Lotion,0.0033333333333333335,0.13145539906103287,4.996494805939711
Body Lotion,Shampoo Pro,0.0033333333333333335,0.12669683257918551,4.996494805939711
Phone Case Pro,Mechanical Keyboard Pro,0.0034523809523809524,0.13615023474178406,4.99415708223138
Mechanical Keyboard Pro,Phone Case Pro,0.0034523809523809524,0.12663755458515283,4.994157082231379
Resistance Bands Pro,Foam Roller,0.0034523809523809524,0.1288888888888889,4.989247311827957
Foam Roller,Resistance Bands Pro,0.0034523809523809524,0.1336405529953917,4.989247311827957
Face Mask Pack,Lipstick Pro,0.0027380952380952383,0.12105263157894738,4.98452012383901
Lipstick Pro,Face Mask Pack,0.0027380952380952383,0.11274509803921569,4.984520123839009
Smart Watch,Wireless Mouse Pro,0.002976190476190476,0.11737089201877934,4.979371176554275
Wireless Mouse Pro,Smart Watch,0.002976190476190476,0.12626262626262624,4.979371176554275
Face Mask Pack,Face Wash,0.0030952380952380953,0.1368421052631579,4.976076555023924
Face Wash,Face Mask Pack,0.0030952380952380953,0.11255411255411256,4.976076555023924
Non-stick Pan Pro,Knife Set,0.0030952380952380953,0.1293532338308458,4.961493900361209
Knife Set,Non-stick Pan Pro,0.0030952380952380953,0.11872146118721462,4.961493900361208
Formal Shirt,Denim Jacket Pro,0.0035714285714285713,0.13274336283185842,4.955752212389381
Denim Jacket Pro,Formal Shirt,0.0035714285714285713,0.13333333333333333,4.955752212389381
Leather Wallet,Backpack Pro,0.002857142857142857,0.13559322033898305,4.952100221075903
Backpack Pro,Leather Wallet,0.002857142857142857,0.10434782608695652,4.952100221075902
Knife Set,Ceramic Mug Set,0.0030952380952380953,0.11872146118721462,4.936932049369321
Ceramic Mug Set,Knife Set,0.0030952380952380953,0.12871287128712872,4.936932049369321
Art Supplies Kit,Fiction Novel Pro,0.002857142857142857,0.11267605633802817,4.929577464788733
Lipstick,Hair Dryer,0.0027380952380952383,0.10798122065727701,4.929577464788733
Fiction Novel Pro,Art Supplies Kit,0.002857142857142857,0.125,4.929577464788733
Hair Dryer,Lipstick,0.0027380952380952383,0.125,4.929577464788733
Analog Watch,Sports Cap,0.002857142857142857,0.11428571428571428,4.9230769230769225
Sports Cap,Analog Watch,0.002857142857142857,0.12307692307692307,4.9230769230769225
Art Supplies Kit Pro,Sketch Pens Pro,0.0027380952380952383,0.12105263157894738,4.912280701754386
Sketch Pens Pro,Art Supplies Kit Pro,0.0027380952380952383,0.11111111111111112,4.912280701754386
Mechanical Keyboard,Wireless Earbuds Pro,0.0032142857142857142,0.1232876712328767,4.908134778939167
Wireless Earbuds Pro,Mechanical Keyboard,0.0032142857142857142,0.12796208530805686,4.908134778939167
USB-C Cable,Mechanical Keyboard,0.0032142857142857142,0.12796208530805686,4.908134778939167
Mechanical Keyboard,USB-C Cable,0.0032142857142857142,0.1232876712328767,4.908134778939167
Shampoo Pro,Perfume,0.0032142857142857142,0.1267605633802817,4.906860517946388
Perfume,Shampoo Pro,0.0032142857142857142,0.12442396313364056,4.906860517946388
USB-C Cable Pro,Power Bank,0.0032142857142857142,0.14136125654450263,4.906754359395959
Power Bank,USB-C Cable Pro,0.0032142857142857142,0.1115702479338843,4.906754359395959
Electric Kettle Pro,Electric Kettle,0.002976190476190476,0.12195121951219512,4.901388726805928
Electric Kettle,Electric Kettle Pro,0.002976190476190476,0.11961722488038276,4.901388726805928
Wall Clock Pro,LED Desk Lamp,0.002857142857142857,0.11374407582938388,4.8997448049580745
LED Desk Lamp,Wall Clock Pro,0.002857142857142857,0.12307692307692307,4.8997448049580745
Sticky Notes Pro,Puzzle Book,0.0035714285714285713,0.13761467889908258,4.898149587933448
Puzzle Book,Sticky Notes Pro,0.0035714285714285713,0.1271186440677966,4.898149587933447
Dumbbell Set,Skipping Rope,0.002857142857142857,0.13114754098360656,4.896174863387978
Skipping Rope,Dumbbell Set,0.002857142857142857,0.10666666666666667,4.896174863387978
Resistance Bands Pro,Dumbbell Set,0.002857142857142857,0.10666666666666667,4.896174863387978
Dumbbell Set,Resistance Bands Pro,0.002857142857142857,0.13114754098360656,4.896174863387978
Sunscreen,Perfume Pro,0.002976190476190476,0.12690355329949238,4.889861686769431
Perfume Pro,Sunscreen,0.002976190476190476,0.1146788990825688,4.8898616867694304
Moisturizer,Shampoo Pro,0.0030952380952380953,0.12380952380952381,4.882629107981221
Shampoo Pro,Moisturizer,0.0030952380952380953,0.12206572769953053,4.882629107981221
Non-stick Pan,Knife Set Pro,0.002857142857142857,0.1212121212121212,4.8716833405828615
Bedsheet Set,Electric Kettle,0.002857142857142857,0.1212121212121212,4.8716833405828615
Knife Set Pro,Non-stick Pan,0.002857142857142857,0.11483253588516745,4.8716833405828615
Electric Kettle,Bedsheet Set,0.002857142857142857,0.11483253588516745,4.8716833405828615
Perfume Pro,Face Wash Pro,0.002976190476190476,0.1146788990825688,4.865165415624131
Face Wash Pro,Perfume Pro,0.002976190476190476,0.12626262626262624,4.865165415624131
Mechanical Keyboard,Smart Watch Pro,0.0033333333333333335,0.1278538812785388,4.859604537283828
Smart Watch Pro,Mechanical Keyboard,0.0033333333333333335,0.12669683257918551,4.859604537283828
Planner Diary,Fountain Pen Pro,0.0032142857142857142,0.13989637305699482,4.855907163961803
Fountain Pen Pro,Planner Diary,0.0032142857142857142,0.1115702479338843,4.855907163961803
Bookmark Set,Desk Organizer,0.002857142857142857,0.11940298507462688,4.845338524767468
Desk Organizer,Bookmark Set,0.002857142857142857,0.11594202898550725,4.845338524767468
Dumbbell Set,Water Bottle,0.0025,0.11475409836065574,4.8438915890930065
Water Bottle,Dumbbell Set,0.0025,0.10552763819095479,4.8438915890930065
Sticky Notes Pro,Sketch Pens Pro,0.0030952380952380953,0.11926605504587157,4.83978194389044
Sketch Pens Pro,Sticky Notes Pro,0.0030952380952380953,0.12560386473429952,4.83978194389044
Formal Shirt,Winter Hoodie,0.002976190476190476,0.11061946902654868,4.839601769911504
Winter Hoodie,Formal Shirt,0.002976190476190476,0.13020833333333331,4.839601769911504
LED Desk Lamp Pro,Wall Clock Pro,0.0030952380952380953,0.12149532710280375,4.836780794613988
Water Bottle Pro,Resistance Bands,0.0030952380952380953,0.12149532710280375,4.836780794613988
Resistance Bands,Water Bottle Pro,0.0030952380952380953,0.12322274881516587,4.836780794613988
Wall Clock Pro,LED Desk Lamp Pro,0.0030952380952380953,0.12322274881516587,4.836780794613988
Bedsheet Set Pro,LED Desk Lamp,0.0027380952380952383,0.11219512195121951,4.833020637898686
LED Desk Lamp,Bedsheet Set Pro,0.0027380952380952383,0.11794871794871795,4.833020637898686
Fitness Tracker Pro,Water Bottle,0.0032142857142857142,0.11440677966101694,4.829230900264032
Water Bottle,Fitness Tracker Pro,0.0032142857142857142,0.135678391959799,4.829230900264032
Cycling Gloves Pro,Foam Roller Pro,0.002857142857142857,0.12000000000000001,4.822966507177034
Foam Roller Pro,Cycling Gloves Pro,0.002857142857142857,0.11483253588516745,4.822966507177033
Wall Clock,Electric Kettle Pro,0.002857142857142857,0.11764705882352941,4.820659971305595
